"Player","Team","Number","Position","Birthdate","College","Year"
"Winslow Oliver","Carolina Panthers","--","RB","1973-03-03","New Mexico","1996"
"Ed West","Philadelphia Eagles","--","TE","1961-08-02","Auburn","1996"
"John Randle","Minnesota Vikings","--","DE","1967-12-12","Texas A&amp;M-Kingsville","1996"
"Chris Gardocki","Indianapolis Colts","--","P","1970-02-07","Clemson","1996"
"Scott Kowalkowski","Detroit Lions","--","LB","1968-08-23","Notre Dame","1996"
"Kirby Dar Dar","Miami Dolphins","--","WR","1972-03-27","Syracuse","1996"
"David Hendrix","San Diego Chargers","--","DB","1972-05-29","Georgia Tech","1996"
"Jessie Tuggle","Atlanta Falcons","--","LB","1965-02-14","Valdosta State","1996"
"Scott Greene","Carolina Panthers","--","RB","1972-06-01","Michigan State","1996"
"Ricky Proehl","Seattle Seahawks","--","WR","1968-03-07","Wake Forest","1996"
"Jamir Miller","Arizona Cardinals","--","LB","1973-11-19","UCLA","1996"
"D'Marco Farr","Los Angeles Rams","--","DT","1971-06-09","Washington","1996"
"Nate Singleton","San Francisco 49ers","--","WR","1968-07-05","Grambling","1996"
"Carnell Lake","Pittsburgh Steelers","--","DB","1967-07-15","UCLA","1996"
"Shane Dronett","Detroit Lions","--","DT","1971-01-12","Texas","1996"
"Terry Glenn","New England Patriots","--","WR","1974-07-23","Ohio State","1996"
"Ricky Watters","Philadelphia Eagles","--","RB","1969-04-07","Notre Dame","1996"
"Paul Butcher","Oakland Raiders","--","LB","1963-11-08","Wayne State (MI)","1996"
"Andre Reed","Buffalo Bills","--","WR","1964-01-29","Kutztown","1996"
"Mike Hollis","Jacksonville Jaguars","--","K","1972-05-22","Idaho","1996"
"Jimmy Spencer","Cincinnati Bengals","--","DB","1969-03-29","Florida","1996"
"Kenneth Gant","Tampa Bay Buccaneers","--","DB","1967-04-18","Albany State","1996"
"Brock Marion","Dallas Cowboys","--","DB","1970-06-11","Nevada","1996"
"Rob Johnson","Jacksonville Jaguars","--","QB","1973-03-18","Southern California","1996"
"Robb Thomas","Tampa Bay Buccaneers","--","WR","1966-03-29","Oregon State","1996"
"Ethan Albright","Buffalo Bills","--","OT","1971-05-01","North Carolina","1996"
"Alex Molden","New Orleans Saints","--","DB","1973-08-04","Oregon","1996"
"Ted Popson","San Francisco 49ers","--","TE","1966-09-10","Portland State","1996"
"Tim Grunhard","Kansas City Chiefs","--","C","1968-05-17","Notre Dame","1996"
"Mark Royals","Detroit Lions","--","P","1965-06-22","Appalachian State","1996"
"Ricky Bell","Jacksonville Jaguars","--","DB","1974-10-02","North Carolina State","1996"
"Gene Williams","Atlanta Falcons","--","OG","1968-10-14","Iowa State","1996"
"Victor Bailey","Kansas City Chiefs","--","WR","1970-07-03","Missouri","1996"
"Keith Lyle","Los Angeles Rams","--","DB","1972-04-17","Virginia","1996"
"Vaughn Hebron","Denver Broncos","--","RB","1970-10-07","Virginia Tech","1996"
"Kyle Clifton","New York Jets","--","LB","1962-08-23","Texas Christian","1996"
"Derek Ware","Dallas Cowboys","--","TE","1967-09-17","Central Oklahoma","1996"
"Selwyn Jones","Seattle Seahawks","--","DB","1970-05-13","Colorado State","1996"
"Lethon Flowers","Pittsburgh Steelers","--","DB","1973-01-14","Georgia Tech","1996"
"Tyrone Wheatley","New York Giants","--","RB","1972-01-19","Michigan","1996"
"Darryl Williams","Seattle Seahawks","--","DB","1970-01-07","Miami","1996"
"Lamar Thomas","Miami Dolphins","--","WR","1970-02-12","Miami","1996"
"Stephen Davis","Washington Redskins","--","RB","1974-03-01","Auburn","1996"
"Brad Edwards","Atlanta Falcons","--","DB","1966-03-22","South Carolina","1996"
"Rick Tuten","Seattle Seahawks","--","P","1965-01-05","Florida State","1996"
"Kevin Gogan","Oakland Raiders","--","OG","1964-11-02","Washington","1996"
"Olanda Truitt","Oakland Raiders","--","WR","1971-01-04","Mississippi State","1996"
"Jim Schwantz","Dallas Cowboys","--","LB","1970-01-23","Purdue","1996"
"Omar Douglas","New York Giants","--","WR","1972-06-03","Minnesota","1996"
"Corey Raymond","Detroit Lions","--","DB","1969-07-28","Louisiana State","1996"
"Joe Cain","Chicago Bears","--","LB","1965-06-11","Oregon Tech","1996"
"Johnny Thomas","Philadelphia Eagles","--","DB","1964-08-03","Baylor","1996"
"Cory Schlesinger","Detroit Lions","--","RB","1972-06-23","Nebraska","1996"
"Brian DeMarco","Jacksonville Jaguars","--","OT","1972-04-09","Michigan State","1996"
"Derrick Frazier","Dallas Cowboys","--","DB","1970-04-29","Texas A&amp;M","1996"
"Rohn Stark","Carolina Panthers","--","P","1959-05-04","Florida State","1996"
"Dan Saleaumua","Kansas City Chiefs","--","DT","1964-11-25","Arizona State","1996"
"David Dixon","Minnesota Vikings","--","OG","1969-01-05","Arizona State","1996"
"Roger Harper","Dallas Cowboys","--","DB","1970-10-26","Ohio State","1996"
"Jeff Kopp","Jacksonville Jaguars","--","LB","1971-07-08","Southern California","1996"
"Carlester Crumpler","Seattle Seahawks","--","TE","1971-09-05","East Carolina","1996"
"Anthony Edwards","Arizona Cardinals","--","WR","1966-05-26","New Mexico Highlands","1996"
"Keith Hamilton","New York Giants","--","DT","1971-05-25","Pittsburgh","1996"
"Marcus Dowdell","Arizona Cardinals","--","WR","1970-05-22","Tennessee State","1996"
"Sam Rogers","Buffalo Bills","--","LB","1970-05-30","Colorado","1996"
"Tim McDonald","San Francisco 49ers","--","DB","1965-01-06","Southern California","1996"
"Troy Sadowski","Cincinnati Bengals","--","TE","1965-12-08","Georgia","1996"
"Corey Miller","New York Giants","--","LB","1968-10-25","South Carolina","1996"
"Scott Zolak","New England Patriots","--","QB","1967-12-13","Maryland","1996"
"Greg Biekert","Oakland Raiders","--","LB","1969-03-14","Colorado","1996"
"Bennie Thompson","Baltimore Ravens","--","DB","1963-02-10","Grambling","1996"
"Jesse Sapolu","San Francisco 49ers","--","C","1961-03-10","Hawaii","1996"
"John Burrough","Atlanta Falcons","--","DE","1972-05-17","Wyoming","1996"
"Matt Vanderbeek","Washington Redskins","--","LB","1967-08-16","Michigan State","1996"
"Larry Allen","Dallas Cowboys","--","OG","1971-11-27","Sonoma State","1996"
"Steve Emtman","Miami Dolphins","--","DT","1970-04-16","Washington","1996"
"Eric Ravotti","Pittsburgh Steelers","--","LB","1971-03-16","Penn State","1996"
"Darryl Ashmore","Washington Redskins","--","OG","1969-11-01","Northwestern","1996"
"Terry Kirby","San Francisco 49ers","--","RB","1970-01-20","Virginia","1996"
"Joe Panos","Philadelphia Eagles","--","OG","1971-01-24","Wisconsin","1996"
"Daryl Johnston","Dallas Cowboys","--","RB","1966-02-10","Syracuse","1996"
"Howard Ballard","Seattle Seahawks","--","OT","1963-11-03","Alabama A&amp;M","1996"
"Dan Stryzinski","Atlanta Falcons","--","P","1965-05-15","Indiana","1996"
"Stanley Pritchett","Miami Dolphins","--","RB","1973-12-22","South Carolina","1996"
"Quinn Early","Buffalo Bills","--","WR","1965-04-13","Iowa","1996"
"Kimble Anders","Kansas City Chiefs","--","RB","1966-09-10","Houston","1996"
"Siupeli Malamala","New York Jets","--","OT","1969-01-15","Washington","1996"
"Chris Oldham","Pittsburgh Steelers","--","DB","1968-10-26","Oregon","1996"
"Marquez Pope","San Francisco 49ers","--","DB","1970-10-29","Fresno State","1996"
"Tim McKyer","Atlanta Falcons","--","DB","1963-09-05","Texas-Arlington","1996"
"Tyrone Braxton","Denver Broncos","--","DB","1964-12-17","North Dakota State","1996"
"Matt O'Dwyer","New York Jets","--","OG","1972-09-01","Northwestern","1996"
"Ben Coates","New England Patriots","--","TE","1969-08-16","Livingstone","1996"
"Jim Jeffcoat","Buffalo Bills","--","DE","1961-04-01","Arizona State","1996"
"Deems May","San Diego Chargers","--","TE","1969-03-06","North Carolina","1996"
"Sean Vanhorse","Minnesota Vikings","--","DB","1968-07-22","Howard","1996"
"Randy Baldwin","Baltimore Ravens","--","RB","1967-08-19","Mississippi","1996"
"Bob Dahl","Washington Redskins","--","OG","1968-01-15","Notre Dame","1996"
"Jerry Fontenot","Chicago Bears","--","C","1966-11-21","Texas A&amp;M","1996"
"Jim Dombrowski","New Orleans Saints","--","OG","1963-10-19","Virginia","1996"
"Warren Sapp","Tampa Bay Buccaneers","--","DT","1972-12-19","Miami","1996"
"Darren Perry","Pittsburgh Steelers","--","DB","1968-12-29","Penn State","1996"
"Garrison Hearst","Cincinnati Bengals","--","RB","1971-01-04","Georgia","1996"
"James Parrish","New York Jets","--","OT","1968-05-19","Temple","1996"
"Rickey Dudley","Oakland Raiders","--","TE","1972-07-15","Ohio State","1996"
"Ron Rice","Detroit Lions","--","DB","1972-11-09","Eastern Michigan","1996"
"J.J. Stokes","San Francisco 49ers","--","WR","1972-10-06","UCLA","1996"
"Brett Carolan","Miami Dolphins","--","TE","1971-03-16","Washington State","1996"
"Jeff Zgonina","Atlanta Falcons","--","DT","1970-05-24","Purdue","1996"
"Melvin Tuten","Cincinnati Bengals","--","OT","1971-11-11","Syracuse","1996"
"Jake Reed","Minnesota Vikings","--","WR","1967-09-28","Grambling","1996"
"Scott Galyon","New York Giants","--","LB","1974-03-23","Tennessee","1996"
"Jason Garrett","Dallas Cowboys","--","QB","1966-03-28","Princeton","1996"
"Kevin Miniefield","Chicago Bears","--","DB","1970-03-02","Arizona State","1996"
"Mark Brunell","Jacksonville Jaguars","--","QB","1970-09-17","Washington","1996"
"Willie Clay","New England Patriots","--","DB","1970-09-05","Georgia Tech","1996"
"David Dunn","Cincinnati Bengals","--","WR","1972-06-10","Fresno State","1996"
"Joe Valerio","Los Angeles Rams","--","C","1969-02-11","Pennsylvania","1996"
"Les Miller","Carolina Panthers","--","DE","1965-03-01","Fort Hays State","1996"
"Adrian Murrell","New York Jets","--","RB","1970-10-16","West Virginia","1996"
"Lester Holmes","Philadelphia Eagles","--","OG","1969-09-27","Jackson State","1996"
"Shannon Mitchell","San Diego Chargers","--","TE","1972-03-28","Georgia","1996"
"Carlton Gray","Seattle Seahawks","--","DB","1971-06-26","UCLA","1996"
"Barrett Brooks","Philadelphia Eagles","--","OT","1972-05-05","Kansas State","1996"
"Irv Smith","New Orleans Saints","--","TE","1971-10-13","Notre Dame","1996"
"Eugene Robinson","Green Bay Packers","--","DB","1963-05-28","Colgate","1996"
"Chris Doleman","San Francisco 49ers","--","DE","1961-10-16","Pittsburgh","1996"
"Steve Young","San Francisco 49ers","--","QB","1961-10-11","Brigham Young","1996"
"Ethan Brooks","Atlanta Falcons","--","OT","1972-04-27","Williams","1996"
"Junior Bryant","San Francisco 49ers","--","DE","1971-01-16","Notre Dame","1996"
"Adam Schreiber","New York Giants","--","C","1962-02-20","Texas","1996"
"Derrick Walker","Kansas City Chiefs","--","TE","1967-06-23","Michigan","1996"
"Martin Mayhew","Tampa Bay Buccaneers","--","DB","1965-10-08","Florida State","1996"
"Joe Wolf","Arizona Cardinals","--","OT","1966-12-28","Boston College","1996"
"Victor Green","New York Jets","--","DB","1969-12-08","Akron","1996"
"Carlos Emmons","Pittsburgh Steelers","--","LB","1973-09-03","Arkansas State","1996"
"Greg Huntington","Jacksonville Jaguars","--","C","1970-09-22","Penn State","1996"
"Lamar Smith","Seattle Seahawks","--","RB","1970-11-29","Houston","1996"
"Don Davis","New Orleans Saints","--","LB","1972-12-17","Kansas","1996"
"Kevin Carter","Los Angeles Rams","--","DE","1973-09-21","Florida","1996"
"Dwight Stone","Carolina Panthers","--","WR","1964-01-28","Middle Tennessee State","1996"
"Steve Broussard","Seattle Seahawks","--","RB","1967-02-22","Washington State","1996"
"Roman Oben","New York Giants","--","OT","1972-10-09","Louisville","1996"
"Raylee Johnson","San Diego Chargers","--","DE","1970-06-01","Arkansas","1996"
"Gary Downs","New York Giants","--","RB","1972-06-06","North Carolina State","1996"
"Mark Wheeler","New England Patriots","--","DT","1970-04-01","Texas A&amp;M","1996"
"Chuck Osborne","Los Angeles Rams","--","DT","1973-11-02","Arizona","1996"
"David Alexander","New York Jets","--","C","1964-07-28","Tulsa","1996"
"Tony Brackens","Jacksonville Jaguars","--","DE","1974-12-26","Texas","1996"
"Lincoln Kennedy","Oakland Raiders","--","OT","1971-02-12","Washington","1996"
"Terry Allen","Washington Redskins","--","RB","1968-02-21","Clemson","1996"
"Mike Gisler","New England Patriots","--","C","1969-08-26","Houston","1996"
"Steve Stenstrom","Chicago Bears","--","QB","1971-12-23","Stanford","1996"
"Richard Harvey","New Orleans Saints","--","LB","1966-09-11","Tulane","1996"
"Kent Graham","Arizona Cardinals","--","QB","1968-11-01","Ohio State","1996"
"Clay Shiver","Dallas Cowboys","--","C","1972-12-07","Florida State","1996"
"Rich Griffith","Jacksonville Jaguars","--","TE","1969-07-31","Arizona","1996"
"Steve Everitt","Baltimore Ravens","--","C","1970-08-21","Michigan","1996"
"James Dexter","Arizona Cardinals","--","OT","1973-03-03","South Carolina","1996"
"Eddie Sutter","Baltimore Ravens","--","LB","1969-10-03","Northwestern","1996"
"Keith Traylor","Kansas City Chiefs","--","DT","1969-09-03","Central Oklahoma","1996"
"Greg Manusky","Kansas City Chiefs","--","LB","1966-08-18","Colgate","1996"
"John Jett","Dallas Cowboys","--","P","1968-11-11","East Carolina","1996"
"Troy Auzenne","Indianapolis Colts","--","OT","1969-06-26","California","1996"
"Walter Rasby","Carolina Panthers","--","TE","1972-09-07","Wake Forest","1996"
"Tyrone Hughes","New Orleans Saints","--","DB","1970-01-14","Nebraska","1996"
"Aaron Hayden","San Diego Chargers","--","RB","1973-04-13","Tennessee","1996"
"Robbie Tobeck","Atlanta Falcons","--","C","1970-03-06","Washington State","1996"
"Chris Penn","Kansas City Chiefs","--","WR","1971-04-20","Tulsa","1996"
"Shawn King","Carolina Panthers","--","DE","1972-06-24","Northeast Louisiana","1996"
"Jeff Jaeger","Chicago Bears","--","K","1964-11-26","Washington","1996"
"Sean Dawkins","Indianapolis Colts","--","WR","1971-02-03","California","1996"
"Will Shields","Kansas City Chiefs","--","OG","1971-09-15","Nebraska","1996"
"DeRon Jenkins","Baltimore Ravens","--","DB","1973-11-14","Tennessee","1996"
"Jerry Reynolds","New York Giants","--","OG","1970-04-02","Nevada-Las Vegas","1996"
"Terry Ray","New England Patriots","--","DB","1969-10-12","Oklahoma","1996"
"Mark Chmura","Green Bay Packers","--","TE","1969-02-22","Boston College","1996"
"Gerald McBurrows","Los Angeles Rams","--","DB","1973-10-07","Kansas","1996"
"Willie Jackson","Jacksonville Jaguars","--","WR","1971-08-16","Florida","1996"
"Trezelle Jenkins","Kansas City Chiefs","--","OT","1973-03-13","Michigan","1996"
"Tom Rouen","Denver Broncos","--","P","1968-06-09","Colorado","1996"
"Keith Goganious","Baltimore Ravens","--","LB","1968-12-07","Penn State","1996"
"Kent Hull","Buffalo Bills","--","C","1961-01-13","Mississippi State","1996"
"Anthony Peterson","San Francisco 49ers","--","LB","1972-01-23","Notre Dame","1996"
"Daryl Gardener","Miami Dolphins","--","DT","1973-02-25","Baylor","1996"
"Erik Howard","New York Jets","--","DT","1964-11-12","Washington State","1996"
"Brian Kozlowski","New York Giants","--","TE","1970-10-04","Connecticut","1996"
"Eugene Daniel","Indianapolis Colts","--","DB","1961-05-04","Louisiana State","1996"
"Mark Seay","Philadelphia Eagles","--","WR","1967-04-11","Long Beach State","1996"
"Don Beebe","Green Bay Packers","--","WR","1964-12-18","Chadron State","1996"
"Rob Holmberg","Oakland Raiders","--","LB","1971-05-06","Penn State","1996"
"Hunter Goodwin","Minnesota Vikings","--","TE","1972-10-10","Texas A&amp;M","1996"
"Kevin Ross","San Diego Chargers","--","DB","1962-01-16","Temple","1996"
"Kirk Scrafford","San Francisco 49ers","--","OT","1967-03-16","Montana","1996"
"Bernard Wilson","Arizona Cardinals","--","DT","1970-08-17","Tennessee State","1996"
"Dave Brown","New York Giants","--","QB","1970-02-25","Duke","1996"
"Andre Collins","Cincinnati Bengals","--","LB","1968-05-04","Penn State","1996"
"Reggie Rivers","Denver Broncos","--","RB","1968-02-22","Texas State","1996"
"Tim Tindale","Buffalo Bills","--","RB","1971-04-15","Western Ontario","1996"
"Jerome Woods","Kansas City Chiefs","--","DB","1973-03-17","Memphis","1996"
"Donald Willis","New Orleans Saints","--","OG","1973-07-15","North Carolina A&amp;T","1996"
"Klaus Wilmsmeyer","New Orleans Saints","--","P","1967-12-04","Louisville","1996"
"Hardy Nickerson","Tampa Bay Buccaneers","--","LB","1965-09-01","California","1996"
"Keith Jackson","Green Bay Packers","--","TE","1965-04-19","Oklahoma","1996"
"Robert Blackmon","Seattle Seahawks","--","DB","1967-05-12","Baylor","1996"
"Bruce Armstrong","New England Patriots","--","OT","1965-09-07","Louisville","1996"
"Rick Lyle","Baltimore Ravens","--","DE","1971-02-26","Missouri","1996"
"Jeff Christy","Minnesota Vikings","--","C","1969-02-03","Pittsburgh","1996"
"Craig Novitsky","New Orleans Saints","--","OG","1971-05-12","UCLA","1996"
"Mickey Washington","Jacksonville Jaguars","--","DB","1968-07-08","Texas A&amp;M","1996"
"Albert Fontenot","Chicago Bears","--","DE","1970-09-17","Baylor","1996"
"Scott Brumfield","Cincinnati Bengals","--","OG","1970-08-19","Brigham Young","1996"
"Chris Sullivan","New England Patriots","--","DE","1973-03-14","Boston College","1996"
"Bryant Young","San Francisco 49ers","--","DT","1972-01-27","Notre Dame","1996"
"Pete Mitchell","Jacksonville Jaguars","--","TE","1971-10-09","Boston College","1996"
"Craig Heyward","Atlanta Falcons","--","RB","1966-09-26","Pittsburgh","1996"
"Pepper Johnson","Detroit Lions","--","LB","1964-07-29","Ohio State","1996"
"Joe Cummings","San Diego Chargers","--","LB","1972-06-08","Wyoming","1996"
"Neil O'Donnell","New York Jets","--","QB","1966-07-03","Maryland","1996"
"Heath Shuler","Washington Redskins","--","QB","1971-12-31","Tennessee","1996"
"Doug Pederson","Green Bay Packers","--","QB","1968-01-31","Northeast Louisiana","1996"
"Ralph Tamm","Denver Broncos","--","OG","1966-03-11","West Chester","1996"
"Craig Sauer","Atlanta Falcons","--","LB","1972-12-13","Minnesota","1996"
"Lamont Warren","Indianapolis Colts","--","RB","1973-01-04","Colorado","1996"
"Bryan Barker","Jacksonville Jaguars","--","P","1964-06-28","Santa Clara","1996"
"Ken Norton","San Francisco 49ers","--","LB","1966-09-29","UCLA","1996"
"Mo Lewis","New York Jets","--","LB","1969-10-21","Georgia","1996"
"Mark Schlereth","Denver Broncos","--","OG","1966-01-25","Idaho","1996"
"Raghib Ismail","Carolina Panthers","--","WR","1969-11-18","Notre Dame","1996"
"Alex Van Dyke","New York Jets","--","WR","1974-07-24","Nevada","1996"
"Jimmie Johnson","Philadelphia Eagles","--","TE","1966-10-06","Howard","1996"
"Jay Leeuwenburg","Indianapolis Colts","--","OG","1969-06-18","Colorado","1996"
"Simeon Rice","Arizona Cardinals","--","DE","1974-02-24","Illinois","1996"
"Bryan Schwartz","Jacksonville Jaguars","--","LB","1971-12-05","Augustana (SD)","1996"
"Brant Boyer","Jacksonville Jaguars","--","LB","1971-06-27","Arizona","1996"
"Derrick Fenner","Oakland Raiders","--","RB","1967-04-06","North Carolina","1996"
"Ernie Conwell","Los Angeles Rams","--","TE","1972-08-17","Washington","1996"
"LeShon Johnson","Arizona Cardinals","--","RB","1971-01-15","Northern Illinois","1996"
"Bryan Stoltenberg","San Diego Chargers","--","C","1972-08-25","Colorado","1996"
"Ben Coleman","Jacksonville Jaguars","--","OT","1971-05-18","Wake Forest","1996"
"Cary Blanchard","Indianapolis Colts","--","K","1968-11-05","Oklahoma State","1996"
"Aeneas Williams","Arizona Cardinals","--","DB","1968-01-29","Southern","1996"
"Kurt Gouveia","San Diego Chargers","--","LB","1964-09-14","Brigham Young","1996"
"Mike Devlin","Arizona Cardinals","--","C","1969-11-16","Iowa","1996"
"Jason Hanson","Detroit Lions","--","K","1970-06-17","Washington State","1996"
"Leomont Evans","Washington Redskins","--","DB","1974-07-12","Clemson","1996"
"Jason Maniecki","Tampa Bay Buccaneers","--","DT","1972-08-15","Wisconsin","1996"
"Rich Tylski","Jacksonville Jaguars","--","OG","1971-02-27","Utah State","1996"
"Joey Galloway","Seattle Seahawks","--","WR","1971-11-20","Ohio State","1996"
"David Meggett","New England Patriots","--","RB","1966-04-30","Towson","1996"
"Jerald Moore","Los Angeles Rams","--","RB","1974-11-20","Oklahoma","1996"
"Bobby Hebert","Atlanta Falcons","--","QB","1960-08-19","Northwestern State","1996"
"Anthony Prior","Minnesota Vikings","--","DB","1970-03-27","Washington State","1996"
"Anthony Phillips","Atlanta Falcons","--","DB","1970-10-05","Texas A&amp;M-Kingsville","1996"
"Jerry Ostroski","Buffalo Bills","--","C","1970-07-12","Tulsa","1996"
"Barry Minter","Chicago Bears","--","LB","1970-01-28","Tulsa","1996"
"Merton Hanks","San Francisco 49ers","--","DB","1968-03-12","Iowa","1996"
"Jeff Thomason","Green Bay Packers","--","TE","1969-12-30","Oregon","1996"
"Johnnie Morton","Detroit Lions","--","WR","1971-10-07","Southern California","1996"
"Kurt Schulz","Buffalo Bills","--","DB","1968-12-12","Eastern Washington","1996"
"Melvin Johnson","Tampa Bay Buccaneers","--","DB","1972-04-15","Kentucky","1996"
"Charlie Garner","Philadelphia Eagles","--","RB","1972-02-13","Tennessee","1996"
"Lovett Purnell","New England Patriots","--","TE","1972-04-07","West Virginia","1996"
"Nate Newton","Dallas Cowboys","--","OG","1961-12-20","Florida A&amp;M","1996"
"Brent Jones","San Francisco 49ers","--","TE","1963-02-12","Santa Clara","1996"
"Shawn Price","Buffalo Bills","--","DE","1970-03-28","Pacific","1996"
"John Copeland","Cincinnati Bengals","--","DT","1970-09-20","Alabama","1996"
"Ty Hallock","Jacksonville Jaguars","--","RB","1971-04-30","Michigan State","1996"
"Richard Cooper","Philadelphia Eagles","--","OT","1964-11-01","Tennessee","1996"
"Robert Harris","New York Giants","--","DT","1969-06-13","Southern","1996"
"Mark Williams","Los Angeles Rams","--","LB","1971-05-17","Ohio State","1996"
"Gilbert Brown","Green Bay Packers","--","DT","1971-02-22","Kansas","1996"
"Ronnie Bradford","Arizona Cardinals","--","DB","1970-10-01","Colorado","1996"
"Frank Garcia","Carolina Panthers","--","OG","1972-01-28","Washington","1996"
"Chad Cascadden","New York Jets","--","LB","1972-05-14","Wisconsin","1996"
"Joel Steed","Pittsburgh Steelers","--","DT","1969-02-17","Colorado","1996"
"Howard Cross","New York Giants","--","TE","1967-08-08","Alabama","1996"
"Steve Christie","Buffalo Bills","--","K","1967-11-13","William &amp; Mary","1996"
"Tony Martin","San Diego Chargers","--","WR","1965-09-05","Mesa State","1996"
"Curtis Conway","Chicago Bears","--","WR","1971-03-13","Southern California","1996"
"Sean Salisbury","San Diego Chargers","--","QB","1963-03-09","Southern California","1996"
"Terrell Fletcher","San Diego Chargers","--","RB","1973-09-14","Wisconsin","1996"
"Dorsey Levens","Green Bay Packers","--","RB","1970-05-21","Georgia Tech","1996"
"Scott Dill","Minnesota Vikings","--","OT","1966-04-05","Memphis","1996"
"Steve Beuerlein","Carolina Panthers","--","QB","1965-03-07","Notre Dame","1996"
"Leonard Russell","San Diego Chargers","--","RB","1969-11-17","Arizona State","1996"
"Jumbo Elliott","New York Jets","--","OT","1965-04-01","Michigan","1996"
"Mike Croel","Baltimore Ravens","--","DE","1969-06-06","Nebraska","1996"
"Kevin Dogins","Tampa Bay Buccaneers","--","C","1972-12-07","Texas A&amp;M-Kingsville","1996"
"Aaron Laing","Los Angeles Rams","--","TE","1971-07-19","New Mexico State","1996"
"Fred McAfee","Pittsburgh Steelers","--","RB","1968-06-20","Mississippi College","1996"
"Stephen Grant","Indianapolis Colts","--","LB","1969-12-23","West Virginia","1996"
"Kendall Gammon","New Orleans Saints","--","TE","1968-10-23","Pittsburg State","1996"
"Lionel Washington","Denver Broncos","--","DB","1960-10-21","Tulane","1996"
"Doug Pelfrey","Cincinnati Bengals","--","K","1970-09-25","Kentucky","1996"
"Tim Jacobs","Miami Dolphins","--","DB","1970-04-05","Delaware","1996"
"Tony Mandarich","Indianapolis Colts","--","OG","1966-09-23","Michigan State","1996"
"Stevon Moore","Baltimore Ravens","--","DB","1967-02-09","Mississippi","1996"
"Eric Zomalt","New York Jets","--","DB","1972-08-09","California","1996"
"Norman Hand","Miami Dolphins","--","DT","1972-09-04","Mississippi","1996"
"Kendel Shello","Indianapolis Colts","--","DT","1973-11-24","Southern","1996"
"Lamar Lathon","Carolina Panthers","--","LB","1967-12-23","Houston","1996"
"Shane Burton","Miami Dolphins","--","DE","1974-01-18","Tennessee","1996"
"Percy Ellsworth","New York Giants","--","DB","1974-10-19","Virginia","1996"
"Jonathan Ogden","Baltimore Ravens","--","OT","1974-07-31","UCLA","1996"
"Hessley Hempstead","Detroit Lions","--","C","1972-01-29","Kansas","1996"
"Devon McDonald","Arizona Cardinals","--","LB","1969-11-08","Notre Dame","1996"
"Russell Maryland","Oakland Raiders","--","DT","1969-03-22","Miami","1996"
"Zach Wiegert","Los Angeles Rams","--","OT","1972-08-16","Nebraska","1996"
"Todd Lyght","Los Angeles Rams","--","DB","1969-02-09","Notre Dame","1996"
"Tracy Rogers","Kansas City Chiefs","--","LB","1967-08-13","Fresno State","1996"
"Derrick Mayes","Green Bay Packers","--","WR","1974-01-28","Notre Dame","1996"
"Paul Frase","Jacksonville Jaguars","--","DE","1965-05-05","Syracuse","1996"
"Eddie Anderson","Oakland Raiders","--","DB","1963-07-22","Fort Valley State","1996"
"Roderick Mullen","Green Bay Packers","--","DB","1972-12-05","Grambling","1996"
"Nick Lowery","New York Jets","--","K","1956-05-27","Dartmouth","1996"
"Rodney Peete","Philadelphia Eagles","--","QB","1966-03-16","Southern California","1996"
"Orlando Thomas","Minnesota Vikings","--","DB","1972-10-21","Southwestern Louisiana","1996"
"Tommy Vardell","San Francisco 49ers","--","RB","1969-02-20","Stanford","1996"
"O.J. McDuffie","Miami Dolphins","--","WR","1969-12-02","Penn State","1996"
"Jerry Olsavsky","Pittsburgh Steelers","--","LB","1967-03-29","Pittsburgh","1996"
"David Szott","Kansas City Chiefs","--","OG","1967-12-12","Penn State","1996"
"Dave Wohlabaugh","New England Patriots","--","C","1972-04-13","Syracuse","1996"
"James Trapp","Oakland Raiders","--","DB","1969-12-28","Clemson","1996"
"Glenn Foley","New York Jets","--","QB","1970-10-10","Boston College","1996"
"Aundray Bruce","Oakland Raiders","--","DE","1966-04-30","Auburn","1996"
"Jamie Martin","Los Angeles Rams","--","QB","1970-02-08","Weber State","1996"
"Chad Brown","Pittsburgh Steelers","--","LB","1970-07-12","Colorado","1996"
"Marvin Washington","New York Jets","--","DE","1965-10-22","Idaho","1996"
"David Binn","San Diego Chargers","--","C","1972-02-06","California","1996"
"Ronnie Dixon","Philadelphia Eagles","--","DT","1971-05-10","Cincinnati","1996"
"Quentin Coryatt","Indianapolis Colts","--","LB","1970-08-01","Texas A&amp;M","1996"
"Matt Stover","Baltimore Ravens","--","K","1968-01-27","Louisiana Tech","1996"
"Dan Wilkinson","Cincinnati Bengals","--","DT","1973-03-13","Ohio State","1996"
"Michael Sinclair","Seattle Seahawks","--","DE","1968-01-31","Eastern New Mexico","1996"
"Broderick Thompson","Denver Broncos","--","OT","1960-08-14","Kansas","1996"
"Tim Biakabutuka","Carolina Panthers","--","RB","1974-01-24","Michigan","1996"
"William Floyd","San Francisco 49ers","--","RB","1972-02-17","Florida State","1996"
"Iheanyi Uwaezuoke","San Francisco 49ers","--","WR","1973-07-24","California","1996"
"Eric Castle","San Diego Chargers","--","DB","1970-03-15","Oregon","1996"
"Jerry Ellison","Tampa Bay Buccaneers","--","RB","1971-12-20","Tennessee-Chattanooga","1996"
"Bill Romanowski","Denver Broncos","--","LB","1966-04-02","Boston College","1996"
