"Player","Team","Number","Position","Birthdate","College","Year"
"Chidi Ahanotu","Tampa Bay Buccaneers","--","DE","1970-10-11","California","1997"
"Ryan Longwell","Green Bay Packers","--","K","1974-08-16","California","1997"
"Joe Walter","Cincinnati Bengals","--","OT","1963-06-18","Texas Tech","1997"
"Brian Stablein","Indianapolis Colts","--","WR","1970-04-14","Ohio State","1997"
"Kevin Sargent","Cincinnati Bengals","--","OT","1969-03-31","Eastern Washington","1997"
"Jeff George","Oakland Raiders","--","QB","1967-12-08","Illinois","1997"
"Eric Moulds","Buffalo Bills","--","WR","1973-07-17","Mississippi State","1997"
"Bill Conaty","Buffalo Bills","--","OT","1973-03-08","Virginia Tech","1997"
"Yancey Thigpen","Pittsburgh Steelers","--","WR","1969-08-15","Winston-Salem State","1997"
"Duce Staley","Philadelphia Eagles","--","RB","1975-02-27","South Carolina","1997"
"J.J. McCleskey","Arizona Cardinals","--","DB","1970-04-10","Tennessee","1997"
"William Thomas","Philadelphia Eagles","--","LB","1968-08-13","Texas A&amp;M","1997"
"Winslow Oliver","Carolina Panthers","--","RB","1973-03-03","New Mexico","1997"
"Ed West","Atlanta Falcons","--","TE","1961-08-02","Auburn","1997"
"Cornell Brown","Baltimore Ravens","--","LB","1975-03-15","Virginia Tech","1997"
"John Randle","Minnesota Vikings","--","DE","1967-12-12","Texas A&amp;M-Kingsville","1997"
"Chris Gardocki","Indianapolis Colts","--","P","1970-02-07","Clemson","1997"
"Scott Kowalkowski","Detroit Lions","--","LB","1968-08-23","Notre Dame","1997"
"Eddie Murray","Minnesota Vikings","--","K","1956-08-29","Tulane","1997"
"David Hendrix","San Diego Chargers","--","DB","1972-05-29","Georgia Tech","1997"
"Jessie Tuggle","Atlanta Falcons","--","LB","1965-02-14","Valdosta State","1997"
"Scott Greene","Carolina Panthers","--","RB","1972-06-01","Michigan State","1997"
"Ricky Proehl","Chicago Bears","--","WR","1968-03-07","Wake Forest","1997"
"Jamir Miller","Arizona Cardinals","--","LB","1973-11-19","UCLA","1997"
"D'Marco Farr","Los Angeles Rams","--","DT","1971-06-09","Washington","1997"
"Nate Singleton","Baltimore Ravens","--","WR","1968-07-05","Grambling","1997"
"Floyd Young","Tampa Bay Buccaneers","--","DB","1975-11-23","Texas A&amp;M-Kingsville","1997"
"Carnell Lake","Pittsburgh Steelers","--","DB","1967-07-15","UCLA","1997"
"Shane Dronett","Atlanta Falcons","--","DT","1971-01-12","Texas","1997"
"Terry Glenn","New England Patriots","--","WR","1974-07-23","Ohio State","1997"
"Ricky Watters","Philadelphia Eagles","--","RB","1969-04-07","Notre Dame","1997"
"Andre Reed","Buffalo Bills","--","WR","1964-01-29","Kutztown","1997"
"Mike Hollis","Jacksonville Jaguars","--","K","1972-05-22","Idaho","1997"
"Jimmy Spencer","Cincinnati Bengals","--","DB","1969-03-29","Florida","1997"
"Kenneth Gant","Tampa Bay Buccaneers","--","DB","1967-04-18","Albany State","1997"
"Brock Marion","Dallas Cowboys","--","DB","1970-06-11","Nevada","1997"
"Rob Johnson","Jacksonville Jaguars","--","QB","1973-03-18","Southern California","1997"
"Robb Thomas","Tampa Bay Buccaneers","--","WR","1966-03-29","Oregon State","1997"
"Ethan Albright","Buffalo Bills","--","OT","1971-05-01","North Carolina","1997"
"Alex Molden","New Orleans Saints","--","DB","1973-08-04","Oregon","1997"
"Ted Popson","Kansas City Chiefs","--","TE","1966-09-10","Portland State","1997"
"Tim Grunhard","Kansas City Chiefs","--","C","1968-05-17","Notre Dame","1997"
"Ken Walter","Carolina Panthers","--","P","1972-08-15","Kent State","1997"
"Mark Royals","New Orleans Saints","--","P","1965-06-22","Appalachian State","1997"
"Ricky Bell","Chicago Bears","--","DB","1974-10-02","North Carolina State","1997"
"Gene Williams","Atlanta Falcons","--","OG","1968-10-14","Iowa State","1997"
"Keith Lyle","Los Angeles Rams","--","DB","1972-04-17","Virginia","1997"
"Kevin Hickman","Detroit Lions","--","TE","1971-08-20","Navy","1997"
"Vaughn Hebron","Denver Broncos","--","RB","1970-10-07","Virginia Tech","1997"
"Lethon Flowers","Pittsburgh Steelers","--","DB","1973-01-14","Georgia Tech","1997"
"Tyrone Wheatley","New York Giants","--","RB","1972-01-19","Michigan","1997"
"Darryl Williams","Seattle Seahawks","--","DB","1970-01-07","Miami","1997"
"Lamar Thomas","Miami Dolphins","--","WR","1970-02-12","Miami","1997"
"Stephen Davis","Washington Redskins","--","RB","1974-03-01","Auburn","1997"
"Shelton Quarles","Tampa Bay Buccaneers","--","LB","1971-09-11","Vanderbilt","1997"
"Rick Tuten","Seattle Seahawks","--","P","1965-01-05","Florida State","1997"
"Kevin Gogan","San Francisco 49ers","--","OG","1964-11-02","Washington","1997"
"Olanda Truitt","Oakland Raiders","--","WR","1971-01-04","Mississippi State","1997"
"Chris Zorich","Chicago Bears","--","DT","1969-03-13","Notre Dame","1997"
"Jim Schwantz","San Francisco 49ers","--","LB","1970-01-23","Purdue","1997"
"Corey Raymond","Detroit Lions","--","DB","1969-07-28","Louisiana State","1997"
"Joe Cain","Seattle Seahawks","--","LB","1965-06-11","Oregon Tech","1997"
"Cory Schlesinger","Detroit Lions","--","RB","1972-06-23","Nebraska","1997"
"Brian DeMarco","Jacksonville Jaguars","--","OT","1972-04-09","Michigan State","1997"
"Rohn Stark","Seattle Seahawks","--","P","1959-05-04","Florida State","1997"
"Dan Saleaumua","Seattle Seahawks","--","DT","1964-11-25","Arizona State","1997"
"David Dixon","Minnesota Vikings","--","OG","1969-01-05","Arizona State","1997"
"Jeff Kopp","Jacksonville Jaguars","--","LB","1971-07-08","Southern California","1997"
"Chris Gedney","Arizona Cardinals","--","TE","1970-08-09","Syracuse","1997"
"Carlester Crumpler","Seattle Seahawks","--","TE","1971-09-05","East Carolina","1997"
"Anthony Edwards","Arizona Cardinals","--","WR","1966-05-26","New Mexico Highlands","1997"
"Keith Hamilton","New York Giants","--","DT","1971-05-25","Pittsburgh","1997"
"Sam Rogers","Buffalo Bills","--","LB","1970-05-30","Colorado","1997"
"Tim McDonald","San Francisco 49ers","--","DB","1965-01-06","Southern California","1997"
"Troy Sadowski","Pittsburgh Steelers","--","TE","1965-12-08","Georgia","1997"
"Corey Miller","New York Giants","--","LB","1968-10-25","South Carolina","1997"
"Tony Williams","Minnesota Vikings","--","DT","1975-07-09","Memphis","1997"
"Scott Zolak","New England Patriots","--","QB","1967-12-13","Maryland","1997"
"Singor Mobley","Dallas Cowboys","--","DB","1972-10-12","Washington State","1997"
"Greg Biekert","Oakland Raiders","--","LB","1969-03-14","Colorado","1997"
"Bennie Thompson","Baltimore Ravens","--","DB","1963-02-10","Grambling","1997"
"Jesse Sapolu","San Francisco 49ers","--","C","1961-03-10","Hawaii","1997"
"John Burrough","Atlanta Falcons","--","DE","1972-05-17","Wyoming","1997"
"Larry Allen","Dallas Cowboys","--","OG","1971-11-27","Sonoma State","1997"
"Steve Emtman","Washington Redskins","--","DT","1970-04-16","Washington","1997"
"Darryl Ashmore","Washington Redskins","--","OG","1969-11-01","Northwestern","1997"
"Terry Kirby","San Francisco 49ers","--","RB","1970-01-20","Virginia","1997"
"Joe Panos","Philadelphia Eagles","--","OG","1971-01-24","Wisconsin","1997"
"Shawn Springs","Seattle Seahawks","--","DB","1975-03-11","Ohio State","1997"
"Daryl Johnston","Dallas Cowboys","--","RB","1966-02-10","Syracuse","1997"
"Howard Ballard","Seattle Seahawks","--","OT","1963-11-03","Alabama A&amp;M","1997"
"Dan Stryzinski","Atlanta Falcons","--","P","1965-05-15","Indiana","1997"
"Stanley Pritchett","Miami Dolphins","--","RB","1973-12-22","South Carolina","1997"
"Quinn Early","Buffalo Bills","--","WR","1965-04-13","Iowa","1997"
"Kimble Anders","Kansas City Chiefs","--","RB","1966-09-10","Houston","1997"
"Siupeli Malamala","New York Jets","--","OT","1969-01-15","Washington","1997"
"Chris Oldham","Pittsburgh Steelers","--","DB","1968-10-26","Oregon","1997"
"Marquez Pope","San Francisco 49ers","--","DB","1970-10-29","Fresno State","1997"
"Tim McKyer","Denver Broncos","--","DB","1963-09-05","Texas-Arlington","1997"
"Omar Stoutmire","Dallas Cowboys","--","DB","1974-07-09","Fresno State","1997"
"Tyrone Braxton","Denver Broncos","--","DB","1964-12-17","North Dakota State","1997"
"Matt O'Dwyer","New York Jets","--","OG","1972-09-01","Northwestern","1997"
"Ben Coates","New England Patriots","--","TE","1969-08-16","Livingstone","1997"
"Jim Jeffcoat","Buffalo Bills","--","DE","1961-04-01","Arizona State","1997"
"Tom Knight","Arizona Cardinals","--","DB","1974-12-29","Iowa","1997"
"Deems May","Seattle Seahawks","--","TE","1969-03-06","North Carolina","1997"
"Kevin Devine","Jacksonville Jaguars","--","DB","1974-12-11","California","1997"
"Bob Dahl","Washington Redskins","--","OG","1968-01-15","Notre Dame","1997"
"Jerry Fontenot","New Orleans Saints","--","C","1966-11-21","Texas A&amp;M","1997"
"Warren Sapp","Tampa Bay Buccaneers","--","DT","1972-12-19","Miami","1997"
"Darren Perry","Pittsburgh Steelers","--","DB","1968-12-29","Penn State","1997"
"Garrison Hearst","San Francisco 49ers","--","RB","1971-01-04","Georgia","1997"
"Rickey Dudley","Oakland Raiders","--","TE","1972-07-15","Ohio State","1997"
"Ron Rice","Detroit Lions","--","DB","1972-11-09","Eastern Michigan","1997"
"Jason Ferguson","New York Jets","--","DT","1974-11-28","Georgia","1997"
"J.J. Stokes","San Francisco 49ers","--","WR","1972-10-06","UCLA","1997"
"Jeff Zgonina","Los Angeles Rams","--","DT","1970-05-24","Purdue","1997"
"Jake Reed","Minnesota Vikings","--","WR","1967-09-28","Grambling","1997"
"Scott Galyon","New York Giants","--","LB","1974-03-23","Tennessee","1997"
"Jason Garrett","Dallas Cowboys","--","QB","1966-03-28","Princeton","1997"
"Kevin Miniefield","Arizona Cardinals","--","DB","1970-03-02","Arizona State","1997"
"Mark Brunell","Jacksonville Jaguars","--","QB","1970-09-17","Washington","1997"
"Willie Clay","New England Patriots","--","DB","1970-09-05","Georgia Tech","1997"
"Mike Quinn","Pittsburgh Steelers","--","QB","1974-04-15","Stephen F. Austin","1997"
"David Dunn","Cincinnati Bengals","--","WR","1972-06-10","Fresno State","1997"
"Les Miller","Carolina Panthers","--","DE","1965-03-01","Fort Hays State","1997"
"Adrian Murrell","New York Jets","--","RB","1970-10-16","West Virginia","1997"
"Lester Holmes","Oakland Raiders","--","OG","1969-09-27","Jackson State","1997"
"Shannon Mitchell","San Diego Chargers","--","TE","1972-03-28","Georgia","1997"
"Carlton Gray","Indianapolis Colts","--","DB","1971-06-26","UCLA","1997"
"Barrett Brooks","Philadelphia Eagles","--","OT","1972-05-05","Kansas State","1997"
"Donovan Greer","Atlanta Falcons","--","DB","1974-09-11","Texas A&amp;M","1997"
"Irv Smith","New Orleans Saints","--","TE","1971-10-13","Notre Dame","1997"
"Eugene Robinson","Green Bay Packers","--","DB","1963-05-28","Colgate","1997"
"Chris Doleman","San Francisco 49ers","--","DE","1961-10-16","Pittsburgh","1997"
"Steve Young","San Francisco 49ers","--","QB","1961-10-11","Brigham Young","1997"
"Junior Bryant","San Francisco 49ers","--","DE","1971-01-16","Notre Dame","1997"
"Adam Schreiber","Atlanta Falcons","--","C","1962-02-20","Texas","1997"
"Derrick Walker","Kansas City Chiefs","--","TE","1967-06-23","Michigan","1997"
"Joe Wolf","Arizona Cardinals","--","OT","1966-12-28","Boston College","1997"
"Victor Green","New York Jets","--","DB","1969-12-08","Akron","1997"
"Carlos Emmons","Pittsburgh Steelers","--","LB","1973-09-03","Arkansas State","1997"
"Greg Huntington","Chicago Bears","--","C","1970-09-22","Penn State","1997"
"Lamar Smith","Seattle Seahawks","--","RB","1970-11-29","Houston","1997"
"Don Davis","New Orleans Saints","--","LB","1972-12-17","Kansas","1997"
"Will Blackwell","Pittsburgh Steelers","--","WR","1975-07-09","San Diego State","1997"
"Matthew Hatchette","Minnesota Vikings","--","WR","1974-05-01","Langston","1997"
"Kevin Carter","Los Angeles Rams","--","DE","1973-09-21","Florida","1997"
"Chuck Levy","San Francisco 49ers","--","RB","1972-01-07","Arizona","1997"
"Dwight Stone","Carolina Panthers","--","WR","1964-01-28","Middle Tennessee State","1997"
"Steve Broussard","Seattle Seahawks","--","RB","1967-02-22","Washington State","1997"
"Roman Oben","New York Giants","--","OT","1972-10-09","Louisville","1997"
"Raylee Johnson","San Diego Chargers","--","DE","1970-06-01","Arkansas","1997"
"Bryan Robinson","Los Angeles Rams","--","DE","1974-06-22","Fresno State","1997"
"Gary Downs","Atlanta Falcons","--","RB","1972-06-06","North Carolina State","1997"
"Sam Garnes","New York Giants","--","DB","1974-07-12","Cincinnati","1997"
"Mark Wheeler","New England Patriots","--","DT","1970-04-01","Texas A&amp;M","1997"
"Keith Thibodeaux","Washington Redskins","--","DB","1974-05-16","Northwestern State","1997"
"Richard Jordan","Detroit Lions","--","LB","1974-12-01","Missouri Southern State","1997"
"Tony Brackens","Jacksonville Jaguars","--","DE","1974-12-26","Texas","1997"
"Mike Sheldon","Miami Dolphins","--","OT","1973-06-08","Grand Valley State","1997"
"Lincoln Kennedy","Oakland Raiders","--","OT","1971-02-12","Washington","1997"
"Terry Allen","Washington Redskins","--","RB","1968-02-21","Clemson","1997"
"Mike Gisler","New England Patriots","--","C","1969-08-26","Houston","1997"
"Steve Stenstrom","Chicago Bears","--","QB","1971-12-23","Stanford","1997"
"Richard Harvey","New Orleans Saints","--","LB","1966-09-11","Tulane","1997"
"Kent Graham","Arizona Cardinals","--","QB","1968-11-01","Ohio State","1997"
"Clay Shiver","Dallas Cowboys","--","C","1972-12-07","Florida State","1997"
"Rich Griffith","Jacksonville Jaguars","--","TE","1969-07-31","Arizona","1997"
"Matt Blundin","Detroit Lions","--","QB","1969-03-07","Virginia","1997"
"Steve Everitt","Philadelphia Eagles","--","C","1970-08-21","Michigan","1997"
"James Dexter","Arizona Cardinals","--","OT","1973-03-03","South Carolina","1997"
"Eddie Sutter","Atlanta Falcons","--","LB","1969-10-03","Northwestern","1997"
"Keith Traylor","Denver Broncos","--","DT","1969-09-03","Central Oklahoma","1997"
"Greg Manusky","Kansas City Chiefs","--","LB","1966-08-18","Colgate","1997"
"John Jett","Detroit Lions","--","P","1968-11-11","East Carolina","1997"
"Walter Rasby","Carolina Panthers","--","TE","1972-09-07","Wake Forest","1997"
"Tyrone Hughes","Chicago Bears","--","DB","1970-01-14","Nebraska","1997"
"Aaron Hayden","Green Bay Packers","--","RB","1973-04-13","Tennessee","1997"
"Robbie Tobeck","Atlanta Falcons","--","C","1970-03-06","Washington State","1997"
"Chris Penn","Chicago Bears","--","WR","1971-04-20","Tulsa","1997"
"Shawn King","Carolina Panthers","--","DE","1972-06-24","Northeast Louisiana","1997"
"Everett Lindsay","Minnesota Vikings","--","OG","1970-09-18","Mississippi","1997"
"Todd Fordham","Jacksonville Jaguars","--","OT","1973-10-09","Florida State","1997"
"Jeff Jaeger","Chicago Bears","--","K","1964-11-26","Washington","1997"
"Sean Dawkins","Indianapolis Colts","--","WR","1971-02-03","California","1997"
"Will Shields","Kansas City Chiefs","--","OG","1971-09-15","Nebraska","1997"
"DeRon Jenkins","Baltimore Ravens","--","DB","1973-11-14","Tennessee","1997"
"Jerry Reynolds","New York Giants","--","OG","1970-04-02","Nevada-Las Vegas","1997"
"Mark Chmura","Green Bay Packers","--","TE","1969-02-22","Boston College","1997"
"Sam Madison","Miami Dolphins","--","DB","1974-04-23","Louisville","1997"
"Gerald McBurrows","Los Angeles Rams","--","DB","1973-10-07","Kansas","1997"
"Willie Jackson","Jacksonville Jaguars","--","WR","1971-08-16","Florida","1997"
"Andre Purvis","Cincinnati Bengals","--","DT","1973-07-14","North Carolina","1997"
"Trezelle Jenkins","Kansas City Chiefs","--","OT","1973-03-13","Michigan","1997"
"Tom Rouen","Denver Broncos","--","P","1968-06-09","Colorado","1997"
"Anthony Peterson","Chicago Bears","--","LB","1972-01-23","Notre Dame","1997"
"Daryl Gardener","Miami Dolphins","--","DT","1973-02-25","Baylor","1997"
"Brian Kozlowski","Atlanta Falcons","--","TE","1970-10-04","Connecticut","1997"
"Eugene Daniel","Baltimore Ravens","--","DB","1961-05-04","Louisiana State","1997"
"Mark Seay","Philadelphia Eagles","--","WR","1967-04-11","Long Beach State","1997"
"Chris Naeole","New Orleans Saints","--","OG","1974-12-25","Colorado","1997"
"Adam Meadows","Indianapolis Colts","--","OT","1974-01-25","Georgia","1997"
"Don Beebe","Green Bay Packers","--","WR","1964-12-18","Chadron State","1997"
"Rob Holmberg","Oakland Raiders","--","LB","1971-05-06","Penn State","1997"
"Hunter Goodwin","Minnesota Vikings","--","TE","1972-10-10","Texas A&amp;M","1997"
"Ryan Phillips","New York Giants","--","LB","1974-02-07","Idaho","1997"
"Kevin Ross","Kansas City Chiefs","--","DB","1962-01-16","Temple","1997"
"Kirk Scrafford","San Francisco 49ers","--","OT","1967-03-16","Montana","1997"
"Tyrell Peters","Baltimore Ravens","--","LB","1974-08-04","Oklahoma","1997"
"Bernard Wilson","Arizona Cardinals","--","DT","1970-08-17","Tennessee State","1997"
"Dave Brown","New York Giants","--","QB","1970-02-25","Duke","1997"
"Andre Collins","Cincinnati Bengals","--","LB","1968-05-04","Penn State","1997"
"Tim Tindale","Buffalo Bills","--","RB","1971-04-15","Western Ontario","1997"
"Jerome Woods","Kansas City Chiefs","--","DB","1973-03-17","Memphis","1997"
"Hardy Nickerson","Tampa Bay Buccaneers","--","LB","1965-09-01","California","1997"
"Robert Blackmon","Indianapolis Colts","--","DB","1967-05-12","Baylor","1997"
"Bruce Armstrong","New England Patriots","--","OT","1965-09-07","Louisville","1997"
"Rick Lyle","New York Jets","--","DE","1971-02-26","Missouri","1997"
"Jeff Christy","Minnesota Vikings","--","C","1969-02-03","Pittsburgh","1997"
"Kevin Abrams","Detroit Lions","--","DB","1974-02-28","Syracuse","1997"
"Corey Dillon","Cincinnati Bengals","--","RB","1974-10-24","Washington","1997"
"Mickey Washington","New Orleans Saints","--","DB","1968-07-08","Texas A&amp;M","1997"
"Albert Fontenot","Indianapolis Colts","--","DE","1970-09-17","Baylor","1997"
"Scott Brumfield","Cincinnati Bengals","--","OG","1970-08-19","Brigham Young","1997"
"Chris Sullivan","New England Patriots","--","DE","1973-03-14","Boston College","1997"
"Tony Gonzalez","Kansas City Chiefs","--","TE","1976-02-27","California","1997"
"Bryant Young","San Francisco 49ers","--","DT","1972-01-27","Notre Dame","1997"
"Pete Mitchell","Jacksonville Jaguars","--","TE","1971-10-09","Boston College","1997"
"Craig Heyward","Los Angeles Rams","--","RB","1966-09-26","Pittsburgh","1997"
"Pepper Johnson","New York Jets","--","LB","1964-07-29","Ohio State","1997"
"Marc Edwards","San Francisco 49ers","--","RB","1974-11-17","Notre Dame","1997"
"Neil O'Donnell","New York Jets","--","QB","1966-07-03","Maryland","1997"
"Heath Shuler","New Orleans Saints","--","QB","1971-12-31","Tennessee","1997"
"Doug Pederson","Green Bay Packers","--","QB","1968-01-31","Northeast Louisiana","1997"
"Ralph Tamm","Kansas City Chiefs","--","OG","1966-03-11","West Chester","1997"
"Kevin Mathis","Dallas Cowboys","--","DB","1974-04-29","Texas A&amp;M-Commerce","1997"
"Jake Plummer","Arizona Cardinals","--","QB","1974-12-19","Arizona State","1997"
"Craig Sauer","Atlanta Falcons","--","LB","1972-12-13","Minnesota","1997"
"John Allred","Chicago Bears","--","TE","1974-09-09","Southern California","1997"
"Lamont Warren","Indianapolis Colts","--","RB","1973-01-04","Colorado","1997"
"Bryan Barker","Jacksonville Jaguars","--","P","1964-06-28","Santa Clara","1997"
"Ken Norton","San Francisco 49ers","--","LB","1966-09-29","UCLA","1997"
"Mo Lewis","New York Jets","--","LB","1969-10-21","Georgia","1997"
"Mark Schlereth","Denver Broncos","--","OG","1966-01-25","Idaho","1997"
"Raghib Ismail","Carolina Panthers","--","WR","1969-11-18","Notre Dame","1997"
"Alex Van Dyke","New York Jets","--","WR","1974-07-24","Nevada","1997"
"Jimmie Johnson","Philadelphia Eagles","--","TE","1966-10-06","Howard","1997"
"Jay Leeuwenburg","Indianapolis Colts","--","OG","1969-06-18","Colorado","1997"
"Harry Colon","Detroit Lions","--","DB","1969-02-14","Missouri","1997"
"Simeon Rice","Arizona Cardinals","--","DE","1974-02-24","Illinois","1997"
"Kris Mangum","Carolina Panthers","--","TE","1973-08-15","Mississippi","1997"
"Bryan Schwartz","Jacksonville Jaguars","--","LB","1971-12-05","Augustana (SD)","1997"
"Brant Boyer","Jacksonville Jaguars","--","LB","1971-06-27","Arizona","1997"
"Jon Kitna","Seattle Seahawks","--","QB","1972-09-21","Central Washington","1997"
"Derrick Fenner","Oakland Raiders","--","RB","1967-04-06","North Carolina","1997"
"Steve Bush","Cincinnati Bengals","--","TE","1974-07-04","Arizona State","1997"
"Ernie Conwell","Los Angeles Rams","--","TE","1972-08-17","Washington","1997"
"LeShon Johnson","Arizona Cardinals","--","RB","1971-01-15","Northern Illinois","1997"
"Bryan Stoltenberg","New York Giants","--","C","1972-08-25","Colorado","1997"
"Ben Coleman","Jacksonville Jaguars","--","OT","1971-05-18","Wake Forest","1997"
"Cary Blanchard","Indianapolis Colts","--","K","1968-11-05","Oklahoma State","1997"
"Jabbar Threats","Jacksonville Jaguars","--","DE","1975-04-26","Michigan State","1997"
"Aeneas Williams","Arizona Cardinals","--","DB","1968-01-29","Southern","1997"
"Patrick Hape","Tampa Bay Buccaneers","--","TE","1974-06-06","Alabama","1997"
"Kurt Gouveia","San Diego Chargers","--","LB","1964-09-14","Brigham Young","1997"
"Mike Devlin","Arizona Cardinals","--","C","1969-11-16","Iowa","1997"
"Jason Hanson","Detroit Lions","--","K","1970-06-17","Washington State","1997"
"Leomont Evans","Washington Redskins","--","DB","1974-07-12","Clemson","1997"
"Jason Maniecki","Tampa Bay Buccaneers","--","DT","1972-08-15","Wisconsin","1997"
"Rich Tylski","Jacksonville Jaguars","--","OG","1971-02-27","Utah State","1997"
"David Richie","Denver Broncos","--","DT","1973-09-26","Washington","1997"
"Joey Galloway","Seattle Seahawks","--","WR","1971-11-20","Ohio State","1997"
"David Meggett","New England Patriots","--","RB","1966-04-30","Towson","1997"
"Jerald Moore","Los Angeles Rams","--","RB","1974-11-20","Oklahoma","1997"
"Anthony Prior","Minnesota Vikings","--","DB","1970-03-27","Washington State","1997"
"Jerry Ostroski","Buffalo Bills","--","C","1970-07-12","Tulsa","1997"
"Barry Minter","Chicago Bears","--","LB","1970-01-28","Tulsa","1997"
"Merton Hanks","San Francisco 49ers","--","DB","1968-03-12","Iowa","1997"
"Jeff Thomason","Green Bay Packers","--","TE","1969-12-30","Oregon","1997"
"Johnnie Morton","Detroit Lions","--","WR","1971-10-07","Southern California","1997"
"Kurt Schulz","Buffalo Bills","--","DB","1968-12-12","Eastern Washington","1997"
"Monty Montgomery","Indianapolis Colts","--","DB","1973-12-08","Houston","1997"
"Melvin Johnson","Tampa Bay Buccaneers","--","DB","1972-04-15","Kentucky","1997"
"Charlie Garner","Philadelphia Eagles","--","RB","1972-02-13","Tennessee","1997"
"Lovett Purnell","New England Patriots","--","TE","1972-04-07","West Virginia","1997"
"Nate Newton","Dallas Cowboys","--","OG","1961-12-20","Florida A&amp;M","1997"
"Brent Jones","San Francisco 49ers","--","TE","1963-02-12","Santa Clara","1997"
"Shawn Price","Buffalo Bills","--","DE","1970-03-28","Pacific","1997"
"John Copeland","Cincinnati Bengals","--","DT","1970-09-20","Alabama","1997"
"Ty Hallock","Jacksonville Jaguars","--","RB","1971-04-30","Michigan State","1997"
"Rashod Swinger","Arizona Cardinals","--","DT","1974-11-27","Rutgers","1997"
"Robert Harris","New York Giants","--","DT","1969-06-13","Southern","1997"
"Gilbert Brown","Green Bay Packers","--","DT","1971-02-22","Kansas","1997"
"Ronnie Bradford","Atlanta Falcons","--","DB","1970-10-01","Colorado","1997"
"Frank Garcia","Carolina Panthers","--","OG","1972-01-28","Washington","1997"
"Pete Chryplewicz","Detroit Lions","--","TE","1974-04-27","Notre Dame","1997"
"Chad Cascadden","New York Jets","--","LB","1972-05-14","Wisconsin","1997"
"Joel Steed","Pittsburgh Steelers","--","DT","1969-02-17","Colorado","1997"
"Howard Cross","New York Giants","--","TE","1967-08-08","Alabama","1997"
"Steve Christie","Buffalo Bills","--","K","1967-11-13","William &amp; Mary","1997"
"Alshermond Singleton","Tampa Bay Buccaneers","--","LB","1975-08-07","Temple","1997"
"Tony Martin","San Diego Chargers","--","WR","1965-09-05","Mesa State","1997"
"Curtis Conway","Chicago Bears","--","WR","1971-03-13","Southern California","1997"
"Terrell Fletcher","San Diego Chargers","--","RB","1973-09-14","Wisconsin","1997"
"Dorsey Levens","Green Bay Packers","--","RB","1970-05-21","Georgia Tech","1997"
"Scott Dill","Minnesota Vikings","--","OT","1966-04-05","Memphis","1997"
"Steve Beuerlein","Carolina Panthers","--","QB","1965-03-07","Notre Dame","1997"
"Ty Parten","Kansas City Chiefs","--","DT","1969-10-13","Arizona","1997"
"John Hall","New York Jets","--","K","1974-03-17","Wisconsin","1997"
"Jumbo Elliott","New York Jets","--","OT","1965-04-01","Michigan","1997"
"Kevin Dogins","Tampa Bay Buccaneers","--","C","1972-12-07","Texas A&amp;M-Kingsville","1997"
"Leon Johnson","New York Jets","--","RB","1974-07-13","North Carolina","1997"
"Aaron Laing","Los Angeles Rams","--","TE","1971-07-19","New Mexico State","1997"
"Fred McAfee","Pittsburgh Steelers","--","RB","1968-06-20","Mississippi College","1997"
"Dan Brandenburg","Buffalo Bills","--","LB","1973-02-02","Indiana State","1997"
"Stephen Grant","Indianapolis Colts","--","LB","1969-12-23","West Virginia","1997"
"Kendall Gammon","New Orleans Saints","--","TE","1968-10-23","Pittsburg State","1997"
"Lionel Washington","Oakland Raiders","--","DB","1960-10-21","Tulane","1997"
"Doug Pelfrey","Cincinnati Bengals","--","K","1970-09-25","Kentucky","1997"
"Steve Russ","Denver Broncos","--","LB","1972-09-16","Air Force","1997"
"Tim Jacobs","Miami Dolphins","--","DB","1970-04-05","Delaware","1997"
"Tony Mandarich","Indianapolis Colts","--","OG","1966-09-23","Michigan State","1997"
"Stevon Moore","Baltimore Ravens","--","DB","1967-02-09","Mississippi","1997"
"Norman Hand","San Diego Chargers","--","DT","1972-09-04","Mississippi","1997"
"Kendel Shello","Indianapolis Colts","--","DT","1973-11-24","Southern","1997"
"Lamar Lathon","Carolina Panthers","--","LB","1967-12-23","Houston","1997"
"Jason Taylor","Miami Dolphins","--","DE","1974-09-01","Akron","1997"
"Shane Burton","Miami Dolphins","--","DE","1974-01-18","Tennessee","1997"
"Percy Ellsworth","New York Giants","--","DB","1974-10-19","Virginia","1997"
"Warrick Dunn","Tampa Bay Buccaneers","--","RB","1975-01-05","Florida State","1997"
"Danny Wuerffel","New Orleans Saints","--","QB","1974-05-27","Florida","1997"
"Jonathan Ogden","Baltimore Ravens","--","OT","1974-07-31","UCLA","1997"
"Hessley Hempstead","Detroit Lions","--","C","1972-01-29","Kansas","1997"
"Russell Maryland","Oakland Raiders","--","DT","1969-03-22","Miami","1997"
"Zach Wiegert","Los Angeles Rams","--","OT","1972-08-16","Nebraska","1997"
"Todd Lyght","Los Angeles Rams","--","DB","1969-02-09","Notre Dame","1997"
"Derrick Mayes","Green Bay Packers","--","WR","1974-01-28","Notre Dame","1997"
"Paul Frase","Green Bay Packers","--","DE","1965-05-05","Syracuse","1997"
"Eddie Anderson","Oakland Raiders","--","DB","1963-07-22","Fort Valley State","1997"
"Ed Smith","Atlanta Falcons","--","TE","1969-06-05","","1997"
"Roderick Mullen","Green Bay Packers","--","DB","1972-12-05","Grambling","1997"
"Marco Rivera","Green Bay Packers","--","OG","1972-04-26","Penn State","1997"
